address,amount
0xcc9e13bac74b9c37e0b90fde71a1f2bb6e5d1c1e,60
0xd178db466729c8a0d391041f1aeb41edbf6380ab,60
0x8c224a82c1aa9aab2a059ea4ef699c3764214296,60
0x6523f418c4b7260b070a17c47a206b66935d67cd,30
0x0c3f85adf2436019ff5920ab56bcb9d27ffbef15,30
0x3ac08c06373fd0f487e4826dcd55980930fc0645,60
0x44ad5fa4d36dc37b7b83bad6ac6f373c47c3c837,30
0x9f41f3038e7864463e60213491060e7d15014d6c,30
0xe38a5feb6e03dbff794b2caee9d2871f452b7c88,30
0xf5f4cc110e99dca9b994ad53f2d065d0f3512540,60
0x1dbe1cc50859cbe9c40a336ccf40bc5b16ba494b,30
0x0ba35a56a6d3e44aba3be8b660cb350c38018296,60
0x9b5483fca67ff64550a5ad9e16fdb5920c23b9a4,30
0x5e91366ac7b78b32c5ad7c9f4c9ba34719916199,30
0x957bba2e040906802d52eeb93a6f973a989c2ea4,60
0xfa49187f19edeeb7df7868db82f2d723440b6c6e,60
0xa083d45dc7b97eaf4532f19b112662bd3adf03a4,60
0x1c051112075feaee33bcdbe0984c2bb0db53cf47,60
0x626c444fd33a0358d67a3f89e2d910179b6505fd,60
0x359f787b005bf3ab0971a4369d3dccdc72a1579a,30
0xcc0dc4c48127be82c9609b3eb7ec5089af5e4705,30
0x9b4a2a6d9c244c8c94e31a84a169e23b4b7e5b1f,60
0x1a1641d54a578c7f38466a17cc46e6293df55228,60
0x635b230c3fdf6a466bb6dc3b9b51a8ceb0659b67,30
0x9a568bfeb8cb19e4bafcb57ee69498d57d9591ca,30
0x4d1245bd6436d902d6c2c81acb9f5c4138b1b4cb,30
0x99655ca16c742b46a4a05afaf0f7798c336fd279,30
0xbd6f5bdc401ab1ca811e40755f4a2ddad75ce2cc,30
0x8f70b3ac45a6896532fb90b992d5b7827ba88d3c,60
0xf896d7e210a8e0100ef9bdcc18a981121aac88b5,30
0xf280be039bb96fa8fa0b3e8fa3220f35ed875c66,30
0xb8d7b045d299c9c356bc5ee4fe2dddc8a31280a5,30
0x70e7a6621f4cb3c3e073d0539899f49fc88424c0,30
0xf1c6faf83de831f57225ce9f9499ccedb5a2361d,30
0x86be7c25942c83584f257629048a89cef316f0bf,30
0x056590f16d5b314a132bbcfb1283fec5d5c6e670,30
0x273e9c8198378640f5f007379034b5fa201ef119,60
0x26bdde6506bd32bd7b5cc5c73cd252807ff18568,60
0x193f0ee42a199a0cecd479a9f09ba293eb1ca357,60
0x297946c26171008ba8c0e5642814b5fe6b842ab7,30
0x1f427a6fcdb95a7393c58552093e10a932890fa8,30
0x000f4432a40560bbff1b581a8b7aded8dab80026,60
0xf9107317b0ff77ed5b7adea15e50514a3564002b,60
0xd84e11bee5d555ccd905817cb8cbbd5b6e6c4f0d,60
0xbd1f7d88c76a86c60d41bddd4819fae404e7151e,60
0x4f942119e6ab0a6e4368e795d1d64291a3ff0da4,60
0x6cf51fdef74d02296017a1129086ee9c3477dc01,60
0xf69ea6646cf682262e84cd7c67133eac59cef07b,30
0x9b7a6e6b894e243e994cfaa32ea07d8a60740981,30
0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,30
0xedf7b675a2fe3c27efb263fb4c204a3f0fb17d46,60
0x430e076e5292e0028a0a17a00a65c43e6ee7fb91,60
0x42087c28f296d3b2dab56e3f5d1aca1388f2be5b,30
0x90eb355a85ea5324529224945bb55f1960da1b47,30
0xac59f71c383de1ef94802676f72f1bae3d7d3029,30
0x9b616ac1d31f17be9b23560d93699ca7732e2808,30
0xefaef3a9b2bc9b1464c1f85715b6915de4ec659d,60
0x60ff7dcb4a9c1a89b18fa2d1bb9444143bbea9bd,30
0x2d407ddb06311396fe14d4b49da5f0471447d45c,30
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,30
0x750c31d2290c456fcca1c659b6add80e7a88f881,60
0x253c5cbdd08838dad5493d511e17aa1ac5eab51b,30
0x022ce4715b44ef6f0ead8561b29da676928d16f3,30
0x42add773b02585dbaf024db751d8944618ada20a,60
0x8c80c1fe10912398bf0fe68a25839defcaef588e,30
0x2b19fde5d7377b48be50a5d0a78398a496e8b15c,30
0x63dae0946a44eeead00c8b30ec206fda63f7dfe1,30
0x28d804bf2212e220bc2b7b6252993db8286df07f,30
0xe15aa7f7de1f1bb51aed5d7c28bdcb59987f020a,60
0xf486d56cce70c481b3455af901fcc4f03fee8107,30
0x20f9e5a17b00350f1eaf9ad18bc5be0d54c0bc3f,30
0x1dffae74acf1df1aa4118b993ff73ff84932e6d4,60
0x5d49c7f7330907fd67401782f95d93c3ff7305dd,30
0x005d64b3fedd6d53edf19142087d51c7ac6ba595,30
0xdb33e85224b11765eb1f1dd81c3af181ae975962,60
0xe96e7353fe78ab94d1b43417e21ebc5af985f41a,30
0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,60
0x35641673a0ce64f644ad2f395be19668a06a5616,60
0xb4f76a20e05211991de6ac4cb4a219520caada0d,30
0x17e33637f6b64e9082ea499481b6e6ebae7eea23,30
0x869cf77f0c9fcaabbea2f6d4626cb970a109c42f,60
0xf53cab0c6f25f48f985d1e2c40e03fc7c1963364,60
0x4f0c041455305a177c1699501e8c3c1eeec5aa7e,30
0x4add3b2277e1a79e4cf6b52ccb26b2c80b37f142,60
0x00695c7fcd8ee1517adb85c24547fc792613a5c5,30
0xce71ec2db82d10fe60f053cbb5009acb171f3190,30
0xe6decc0e4a58ef0dd3cfd6b518878b5d114a1857,30
0x5416ba4140a3e660c5c5f7a1e39a6a2b25f74a28,60
0x044a9c43e95aa9fd28eea25131a62b602d304f1f,30
0xda2a6b23e3f80e8bca855a00e665cea9b6812434,60
0x8612c5163e807744d9850d402c219d90361cc7ea,60
0x208f27ba5003f330295174c163839f3249ea8da3,30
0xed30d2e9efb15b3ab8a32df5650cad1b60d66c3d,60
0x584313319d0bfead2a9d98a7154f5dcb5a62887f,30
0x585020d9c6b56874b78979f29d84e082d34f0b2a,30
0xcc3e0238ab75ce515e7be86112c0f2386a672796,30
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,30
0x173b6bc070efda94f5ee14dcb0fe05689c871f9f,30
0x8cd9f9c08c6a3f891bc570f1d6a3dc91c1f62bb0,60
0xce66c6a88bd7bec215aa04fda4cf7c81055521d0,60
0x28ead95628610b4ee91408cfe1c225c71ab6e7a8,30
0x7553fa99ab1f429551eec660708c08e14e30584f,30
0x47547895218274e121e4219a3fd23235377a9903,30
0x5b191f5a2b4a867c4ed71858daccc51fc59c69c0,30
0x16faa6e97aec501eb03d692eb5751e37519cdbb3,30
0x984253cad96157b89255f4674e5362fc0feb69ee,30
0x68f593572402632c724bc2d2fca05e91541269f3,30
0xc8c04b92a6aa653aaf72ab65d626aa70b0700b3c,60
0x6957d2139d29e7db7913ac21e813f2a561e47ac8,30
0xfe6fc5f5d89693d02dc938ec5be5f5b1f8b955e7,30
0xb03fedd3a6acb5111a0e8af9a46346e4d870a9c3,30
0x391891af67e29d97e61e30c3036a0874f5da411e,30
0x071fcdd8f8dbab01b864e2abd3d53c55edb86fb8,30
0xf1e26c020a084e77a4931fee4c997a2b064566fc,60
0x33107b56647014f37375b8291a86409f81a148db,30
0x23b886aceeb71458c96792ffd447352c277f820e,60
0x9634445e293a87ab77ca3cf5b43da94aabc544b6,60
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,60
0xb352eab4ae5864281b95cf1de234b9b8ca2c5b1c,30
0x4aa3045f7b28163541b2e91d77e4a3ef006abca8,30
0x644a135d5b59bcc7149acc24c52bbce32c8f196b,30
0x16b0e4ad0b7287341e8436f335b558d168dd0985,30
0xaafdd768fa83ef7af0e19707f2be9d1db1924766,30
0xb0bcb6accf3d0c528a944aa621c694680a4731ee,30
0xb83ac7549db7774ab59117483933bcf11f27c090,30
0x74aadae2c7aa9321314a0a6f53a70eda5ebe103a,30
0xfe9326c8df460ddc073078bcf982ab172b8c2f95,30
0x4d6c19ac9f91cb3df1049304732be4c262690a81,30
0x73165a7bf621f466c63f6a0c8f08e969772c2a6d,30
0x8c4b59f6ec2c02e45c2a404448def3a7c0465bd3,30
0x5efec2646eb5d768dfa12c9943ee2f1cc458913b,30
0x65331fa9893357a3c0459eabb7866babd69c376f,30
0x6ef3f0ff397c3de367c6ca2cc3e6b6955e7993a5,30
0x923d99e83e0a492fda01095885bb75a14479b68f,60
0x22f6edb55790b0fe841c5ba9aa30792ebcb55863,60
0xdeed4478d677cf5a3a3ec0e3c767880fc0d6c585,60
0xf76a3bb1d4f4290a7e2d8a2405a05566cb3b77ce,30
0xfb40932271fc9db9dbf048e80697e2da4aa57250,60
0x53b015573630d248a32b11b21e5443efb92d9cfb,30
0xc7be722a0227511769e683c4db5c511e8f38e2d8,30
0x35f105e802da60d3312e5a89f51453a0c46b9dad,60
0xa8bf0cd4d76d92cb345e81999029f3174a219305,60
0x99bcea6bb0403927fb3c038163478d5b42082fd9,30
